label,ct_1,ct_2,ct_3,ct_4,dm4,re4,rx4,dm3,re3,rx3,dm2,re2,rx2,dm1,re1,rx1,raw_prob,order
0,0.34745102200000005,0.08772461,0.32407972,0.42078316,0.46116713,0.5398092,0.6090661999999999,0.31121603,0.6619716,0.6042104,0.5234514,0.59434897,0.63985777,0.9552576999999999,0.71032965,0.7696914,0.3606009,116
1,0.364842902,0.10231126,0.7183379,0.7953314,0.72551787,0.82835865,0.85687906,0.6264791999999999,0.9230591999999999,0.9440531999999999,0.61090326,0.9174981,0.8926415000000001,0.9751409,0.9154483,0.92109615,0.58317256,117
1,0.44849073899999997,0.15422465,0.41319459999999997,0.78184646,0.70257276,0.81058264,0.83337784,0.45951846,0.85866517,0.89529014,0.6282161999999999,0.9127573,0.9089008,0.9637986,0.9134518,0.92552346,0.50366086,118
1,0.435649151,0.31411415,0.5001713,0.8884153,0.7549610999999999,0.82832164,0.85732746,0.5255861999999999,0.84606254,0.90532243,0.695082,0.9235793,0.9262530999999999,0.9677046,0.9043610999999999,0.9177618000000001,0.6125989000000001,119
1,0.5153259370000001,0.36952537,0.5140643,0.8220443999999999,0.7260923,0.82697093,0.8491931,0.5168764,0.88668644,0.91985315,0.7185786999999999,0.9563096999999999,0.9357805,0.9769941999999999,0.92633957,0.9434541999999999,0.59127975,120
1,0.369314125,0.13992964,0.5949765,0.9425879,0.7774914,0.86474466,0.88171124,0.5841793000000001,0.9022888000000001,0.9386142,0.60853416,0.92448944,0.92446995,0.96557397,0.9035145,0.9353806,0.5769747,121
1,0.497237301,0.2578607,0.40772542,0.8966426,0.6664005999999999,0.76875085,0.83073217,0.33127213,0.72048473,0.79624647,0.54467475,0.8355121999999999,0.8454333,0.9394546999999999,0.86067957,0.8988537,0.43599123,122
0,0.46952163,0.33803657,0.5226416,0.6301878000000001,0.52379286,0.64354247,0.73380363,0.3434169,0.6480994000000001,0.6977515000000001,0.47867188,0.7406767,0.7038485999999999,0.91408557,0.7555696,0.7436816999999999,0.32246375,105
1,0.43576016700000003,0.32714155,0.66030246,0.8799578000000001,0.654907,0.7627849,0.8196392,0.46369156,0.83129805,0.83389246,0.5991675,0.8473881999999999,0.83584034,0.9603345,0.8331145000000001,0.8831015,0.5164273,123
1,0.344365032,0.111415185,0.30388275,0.70207554,0.5964284000000001,0.7249276,0.77663773,0.34512368,0.7995909000000001,0.798348,0.55576694,0.8207704,0.7858879,0.95204765,0.838825,0.86699986,0.43646779999999996,104
1,0.440757897,0.302847,0.49804160000000003,0.4327111,0.53919667,0.66693485,0.7117486,0.5300726,0.86293316,0.90917355,0.68467265,0.9007136,0.9176719000000001,0.96980244,0.8985207000000001,0.9198858,0.5287148,102
1,0.62148971,0.7909096999999999,0.84108865,0.89051634,0.6699583,0.78200954,0.8310033000000001,0.5718159,0.88538235,0.8928084000000001,0.8081549,0.9422565,0.9321154,0.9732439,0.8894211,0.9240202,0.49719065,85
0,0.409234685,0.024165767999999997,0.13060139,0.2516179,0.344486,0.46925550000000005,0.51860905,0.13589104,0.46608946,0.48493450000000005,0.32775970000000004,0.48217407,0.53563637,0.84082264,0.6722857,0.76783115,0.28112704,86
1,0.37296361899999997,0.13883834,0.25393742,0.90070975,0.68977755,0.7999641,0.8340761,0.31943688,0.72740024,0.7443148,0.5687081,0.8086791,0.8128345,0.9579207000000001,0.81541336,0.8586474000000001,0.38928935,87
1,0.52107023,0.18842894,0.5081924,0.9079018,0.6748048000000001,0.79227257,0.82330155,0.39381984,0.7971689999999999,0.8281476999999999,0.57772064,0.8047344,0.81338763,0.9638758,0.8311878,0.8898096,0.43352538,125
1,0.42007123799999996,0.1104355,0.40374629999999995,0.45821187,0.44649795,0.5727717,0.6378229999999999,0.10454747,0.6019479999999999,0.72443855,0.29284957,0.65175873,0.74577266,0.81926,0.7331303000000001,0.8353184000000001,0.14289343,88
1,0.621747577,0.24074082,0.69780475,0.4824129,0.5089853,0.6722602,0.7248472,0.55970746,0.9072360999999999,0.88704884,0.6186385999999999,0.8971604,0.8578606,0.94173783,0.91505057,0.90484375,0.42479929999999994,89
1,0.525255334,0.37723315,0.681878,0.9628431000000001,0.7806671,0.8665301,0.8890953000000001,0.6025379,0.90922993,0.9402805000000001,0.731977,0.9467051999999999,0.93504006,0.9777279000000001,0.9371025,0.94436944,0.5344011,90
1,0.437838556,0.19245869,0.91462404,0.81140685,0.6448979,0.74228823,0.78690624,0.5918814,0.8940065,0.88094014,0.58631,0.8083022,0.7899037,0.9681599,0.81489044,0.8662707000000001,0.43651155,91
1,0.533256608,0.36994022,0.88796747,0.98656255,0.6968405,0.7839095,0.84333307,0.5623621999999999,0.88106275,0.8904795,0.6144869000000001,0.8289421,0.8349386000000001,0.9680331,0.8585433000000001,0.9002844000000001,0.48909384,92
0,0.493762428,0.08791724599999999,0.67558855,0.68283546,0.5629086,0.67291534,0.7304303000000001,0.43316656,0.761846,0.7558855999999999,0.42621002,0.6568121,0.6283719,0.95789844,0.78253835,0.80869544,0.3999272,93
1,0.431721297,0.12566061,0.5313455,0.98339003,0.7081979,0.82393587,0.86080045,0.44952133,0.86762077,0.8499365,0.5555787,0.86106294,0.81711227,0.94380176,0.87072253,0.8733021000000001,0.47221756,94
0,0.345848072,0.03858271,0.19817482,0.61656904,0.6668251999999999,0.7612145,0.7984591999999999,0.39053628,0.78779024,0.8674284,0.57871383,0.875043,0.8816494,0.9710599,0.8959752000000001,0.91687244,0.52313066,95
1,0.388183805,0.30213636,0.4358722,0.8611268,0.6740003999999999,0.7797829000000001,0.8211514999999999,0.26044029999999996,0.6781811,0.7456381,0.5138809,0.76914644,0.84287626,0.9290722,0.7320981,0.81768316,0.37210938,96
1,0.332979853,0.18642999999999998,0.12386888,0.53758043,0.59423685,0.75751305,0.7865483,0.34771940000000007,0.80918187,0.88125896,0.6499934,0.9432514999999999,0.9265627000000001,0.9679614,0.9235713,0.9342315000000001,0.65410167,97
